,finger,t,px,py,pz,fx,fy,fz,nx,ny,nz,taux,tauy,tauz,vx,vy,vz
758,MF,22,0.10304983263898637,-0.33146679343708496,1.0092179157054613,0.13165602176525765,0.36577450365446096,-0.5307133507352395,0.0,-1.0,0.0,0.004122778891884853,0.000414169469521341,0.0013082039460746446,-0.011545771153186196,0.00018206562915012992,-0.0003788188451570029
759,RF,22,0.10481858958549056,-0.331485,0.9885759682975718,0.12624045071038847,2.588428280307375,-2.6704693982374197,0.0,-1.0,0.0,0.009058471568828504,0.0014811590653618476,0.001863874399496068,0.017687569465041908,-0.00018206562915012992,-0.20641947407889494
760,RF,22,0.1049495646278932,-0.331485,0.9883675623273105,0.015396683639114922,0.2553697879866204,-0.35809259492436996,0.0,-1.0,0.0,0.0020537936750940735,0.00011062441842210972,0.0001671962687937764,0.0013097504240264235,0.0,-0.0020840597026128282
761,RF,22,0.10447907492176309,-0.3314334795021953,0.9883635997979454,0.02825746591849257,0.22630175021757867,-0.3176788705853301,0.0,-1.0,0.0,0.0019682863965553403,0.0002275316932288767,0.00033716314207113407,-0.004704897061301172,0.0005152049780465795,-3.9625293650757953e-05
762,RF,22,0.10476325818716478,-0.331485,0.9875685106163037,0.032503029363187774,0.3430389100864376,-0.4813073865982255,0.0,-1.0,0.0,0.0028337330949038658,-0.0001259999947645214,0.00010156089533897733,0.0028418326540169403,-0.0005152049780465795,-0.007950891816417283
763,RF,22,0.10472733907137902,-0.331485,0.987398746596817,0.02624170961074873,0.11804650313803669,-0.16598492773157963,0.0,-1.0,0.0,0.0009843647455457303,7.07600613333262e-05,0.0002059487694038257,-0.0003591911578576523,0.0,-0.001697640194866512
764,RF,22,0.10448386650605236,-0.33145891446915415,0.9873899027483287,0.04260319856784238,0.12474232250538439,-0.17575303673595,0.0,-1.0,0.0,0.001085652471540606,0.0002044186596484614,0.000408254261327499,-0.0024347256532665507,0.0002608553084582077,-8.843848488315764e-05
765,RF,22,0.1044644005764605,-0.331485,0.9890975086103677,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.0001946592959185811,-0.0002608553084582077,0.017076058620389967
766,RF,22,0.10306054079399266,-0.331485,0.9895009474039469,1.0227916154491461e-128,1.1213980861964498e-128,8.233990842715079e-129,0.0,-1.0,0.0,-1.9569372843073345e-130,7.206290938179624e-131,1.4493906812396906e-130,-0.014038597824678478,0.0,0.0040343879357918055
767,RF,22,0.10384899799509877,-0.331485,0.9893588679960811,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.007884572011061103,0.0,-0.0014207940786581386
768,RF,22,0.10287095498849783,-0.3313795962911708,0.9883472773487931,0.1092294282357536,0.3176284812633712,-0.4475336840592884,0.0,-1.0,0.0,0.0034271385169217542,0.0007937162382409058,0.0013997857285567709,-0.009780430066009399,0.0010540370882916594,-0.010115906472879521
769,LF,22,0.10384942096195691,-0.331485,0.9664933515671564,0.35638476496790616,1.8794896811749693,-2.1476095523252283,0.0,-1.0,0.0,0.009300162511233636,0.003589610454134784,0.004684777094523666,0.00978465973459089,-0.0010540370882916594,-0.21853925781636696
770,LF,22,0.10393516704985559,-0.331485,0.966303181045434,-4.3643163125176437e-100,4.145464168053775e-100,-5.213294410416813e-100,0.0,-1.0,0.0,2.614947459992535e-102,-4.272243224127203e-102,-5.5862736239604435e-102,0.0008574608789867211,0.0,-0.0019017052172243254
771,LF,22,0.10354264975802673,-0.3314240862737977,0.9662988411416099,0.12444249014912105,0.09975788724864945,-0.12943441260274283,0.0,-1.0,0.0,0.0007318837837257495,0.0011402375838199014,0.0015824627218621976,-0.003925172918288616,0.0006091372620226077,-4.339903824090996e-05
772,LF,22,0.1038046234649948,-0.331485,0.9654904446660162,-8.607837227122126e-161,8.1761903203779e-161,-1.0282295436108382e-160,0.0,-1.0,0.0,5.268517179848487e-163,-9.132608738534536e-163,-1.1672538124002985e-162,0.0026197370696807998,-0.0006091372620226077,-0.0080839647559372
773,LF,22,0.10378204395920447,-0.331485,0.9653342712158621,-7.168856686246754e-156,6.809368613707348e-156,-8.563394084039207e-156,0.0,-1.0,0.0,4.403585214149105e-158,-7.720765148070705e-158,-9.825801119653711e-158,-0.00022579505790334964,0.0,-0.0015617345015406237
774,LF,22,0.10354886478966463,-0.3314493664742571,0.9653251481067663,3.6474096924077545e-141,2.923903920669124e-141,-3.79372295180388e-141,0.0,-1.0,0.0,2.129314681042948e-143,2.9667629867435956e-143,4.333741062098451e-143,-0.0023317916953984053,0.0003563352574287304,-9.12310909584324e-05
775,LF,22,0.10352009732375766,-0.331485,0.9671741397215812,0.7265763291557632,2.821332717746782,-1.2624644422819928,0.0,-1.0,0.0,-0.010014603751892412,0.007701496152111172,0.011447537493752677,-0.00028767465906964773,-0.0003563352574287304,0.018489916148148877
776,LF,22,0.10251116009142654,-0.331485,0.9676815611700891,1.0283683954077876,2.4993725771447868,-1.5990889637298733,0.0,-1.0,0.0,-3.684646056184744e-05,0.010576465747202805,0.016507297164114785,-0.01008937232331128,0.0,0.005074214485079054
777,LF,22,0.1034104290559391,-0.331485,0.9672889837143892,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.008992689645125618,0.0,-0.003925774556998718
778,LF,22,0.10193861549331694,-0.3312980984774955,0.966278330282009,2.7113351805229362e-126,2.1735105823403847e-126,-2.8200984731147852e-126,0.0,-1.0,0.0,2.0271678983150215e-128,2.0576193439307017e-128,3.5348372239568145e-128,-0.014718135626221596,0.001869015225045012,-0.010106534323801597
779,FF,23,0.09715958038481454,-0.331485,1.0345207032986115,-0.01426461792590794,2.0420653947221723,-2.1716517782820866,0.0,-1.0,0.0,0.012320728134681292,0.002085507212310646,0.001880131828742253,-0.047790351085024024,-0.001869015225045012,0.6824237301660241
780,FF,23,0.09749876048571127,-0.331485,1.0344157367369553,0.00536742685115546,0.09465035124661801,-0.13034402771358777,0.0,-1.0,0.0,0.0009195545179334983,0.00016205278780230873,0.00015554218518694954,0.003391801008967299,0.0,-0.0010496656165615015
781,FF,23,0.09700665718738402,-0.3314661793547024,1.0344265965952095,0.001310904881629632,0.11638714145842399,-0.1603069450859436,0.0,-1.0,0.0,0.0012026740588555345,0.00015718734140745448,0.00012395705391287151,-0.004921032983272455,0.00018820645297568106,0.00010859858254219645
782,FF,23,0.09700726865689956,-0.331485,1.034563484435469,0.005514237823002907,0.013657696531222946,-0.018782222126648613,0.0,-1.0,0.0,0.00014041750386836776,6.216417834506172e-05,8.642827152433102e-05,6.114695155351457e-06,-0.00018820645297568106,0.0013688784025944756
783,FF,23,0.09792340881172965,-0.331485,1.0339641406662938,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.00916140154830089,0.0,-0.005993437691751424
784,FF,23,0.09701420121417059,-0.3314288901571279,1.0334032174411785,-7.665981877321392e-18,6.298296231181485e-18,-8.717362317817774e-18,0.0,-1.0,0.0,6.589913535608794e-20,-5.993724946467549e-20,-1.0125587277444183e-19,-0.00909207597559053,0.0005610984287207632,-0.0056092322511536175
785,FF,23,0.09836293344544456,-0.331485,1.0334000968266304,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.013487322312739636,-0.0005610984287207632,-3.120614548102196e-05
786,FF,23,0.09700448229332702,-0.331485,1.03258859575588,-1.4188139562860844e-08,1.1656837619275389e-08,-1.613402629493815e-08,0.0,-1.0,0.0,1.213628413387295e-10,-1.2383157777919775e-10,-1.9619389897505712e-10,-0.013584511521175374,0.0,-0.008115010707503423
787,FF,23,0.09660576562160283,-0.331485,1.0344343546712707,0.013035931495969627,0.14340795773986686,-0.19746182085315456,0.0,-1.0,0.0,0.0015470119058199733,0.0002776623690131412,0.0003037839631475685,-0.003987166717241836,0.0,0.018457589153906273
788,FF,23,0.09614493761443273,-0.331485,1.0339011164397043,0.008431677357619752,0.1251120478930215,-0.1722858449589576,0.0,-1.0,0.0,0.0014196119135664745,0.00012509325268526318,0.00016031719063082622,-0.004608280071701082,0.0,-0.005332382315663686
789,MF,23,0.1049180211851376,-0.331485,1.0091630608948294,0.1309008353258535,1.5057532354626644,-1.8950305853803444,0.0,-1.0,0.0,0.009831760019784481,0.0013050183003220275,0.0017160784382318026,0.08773083570704873,0.0,-0.24738055544874848
790,MF,23,0.10504508997361717,-0.331485,1.0090221440102531,0.04386452829715526,0.17770180695078583,-0.25540328120745276,0.0,-1.0,0.0,0.001535483964705567,0.00039411632815417855,0.0005379275584555521,0.0012706878847956737,0.0,-0.0014091688457629203
791,MF,23,0.10468763974988643,-0.33145211278754966,1.0090211105786093,0.06833274523732884,0.05760768335816966,-0.08600781647038291,0.0,-1.0,0.0,0.000566848458337519,0.0006244912389192606,0.0008686397110091584,-0.0035745022373073754,0.0003288721245031656,-1.033431643815419e-05
792,MF,23,0.1049461385591793,-0.331485,1.0082095812630785,0.09277032302657115,0.39523486546250786,-0.5539139682280123,0.0,-1.0,0.0,0.0032689730317956986,0.0003726171770270626,0.0008133663525356153,0.0025849880929286473,-0.0003288721245031656,-0.008115293155308567
